Species,N,Order,Family,BM,AGILITY,AGILITY2,ASCR,PSCR,LSCR,SCR,ASCR MAMMAL PREDICTION,PSCR MAMMAL PREDICTION,LSCR MAMMAL PREDICTION,SCR MAMMAL PREDICTION,ASCR PRIMATE PREDICTION,PSCR PRIMATE PREDICTION,LSCR PRIMATE PREDICTION,SCR PRIMATE PREDICTION,,prosthion-inion
Semnopithecus entellus,2,Primates,Cercopithecidae,14533,m,4,2.6,2.5,2.4,2.5,3.2,3.3,3.8,3.5,2.6,2.8,3.4,2.9,,
Tarsius bancanus,2,Primates,Tarsiidae,123,f,6,1.5,1.4,1.5,1.5,4.6,4.7,5.8,5.3,5.4,5.4,6.2,5.6,,38.6
Tarsius syrichta,2,Primates,Tarsiidae,126,f,6,1.5,1.4,1.5,1.4,4.5,4.6,5.6,5.1,5.1,5.2,5.8,5.3,,38.8
Theropithecus gelada,3,Primates,Cercopithecidae,16567,m,4,2.8,2.6,2.2,2.5,3.3,3.3,3.4,3.5,2.7,2.9,2.9,2.8,,161
Trachypithecus obscurus,1,Primates,Cercopithecidae,7900,m,4,2.8,2.6,2.3,2.6,3.7,3.7,4.1,4,3.3,3.6,3.8,3.6,,
Trachypithecus vetellus,2,Primates,Cercopithecidae,7035,mf,5,2.7,2.5,2.4,2.5,3.6,3.7,4.3,4.1,3.2,3.5,4.2,3.7,,
Varecia variegata,2,Primates,Lemuridae,3508,m,4,2.5,2.2,2,2.2,3.9,3.7,4.2,4.1,3.6,3.5,3.9,3.7,,105.4
Archaeolemur edwardsi,2,Primates,Indridae,24500,m,4,3.3,2.9,2.7,3,3.5,3.4,3.8,3.8,2.9,3,3.5,3.2,,
Babakotia radofilai,4,Primates,Indridae,16200,s,2,2.7,2.4,2,2.4,3.3,3.2,3.2,3.3,2.6,2.6,2.6,2.6,,
Hadropithecus stenognathus,1,Primates,Indridae,27100,m,4,3.3,2.7,2.1,2.7,3.4,3.2,3.1,3.4,2.8,2.7,2.5,2.7,,
Megaladapis madagascariensis,1,Primates,Megaladapidae,38000,s,2,2.6,2.3,2,2.3,2.8,2.7,2.7,2.7,2,2,2,1.9,,
Megaladapis edwardsi,1,Primates,Megaladapidae,75400,s,2,2.5,2.3,2,2.3,2.4,2.4,2.5,2.3,1.6,1.6,1.7,1.5,,
Mesopropithecus pithecoides,2,Primates,Indridae,9700,s,2,2.7,2.3,2,2.3,3.5,3.3,3.4,3.5,3,2.8,2.8,2.9,,
Palaeopropithecus ingens,2,Primates,Indridae,45400,es,1,2.1,2,1.5,1.9,2.3,2.4,2.1,2.2,1.6,1.6,1.3,1.3,,
Elephas maximus,1,Proboscidae,Elephantidae,3450000,ms,3,4,4.1,2.8,3.6,1.9,2.1,1.7,1.8,,,,,,
Loxodonta africana,1,Proboscidae,Elephantidae,4540000,ms,3,5.2,5.5,3.6,4.8,2.2,2.4,2,2.2,,,,,,
Anomalurus derbianus,1,Rodentia,Anomaluridae,453,f,6,2,1.5,1.6,1.7,4.6,4,4.9,4.8,,,,,,
Castor canadensis,1,Rodentia,Castoridae,18667,m,4,2.8,2.7,2.2,2.6,3.2,3.4,3.4,3.5,,,,,,
Cavia porcellus,1,Rodentia,Caviidae,1000,m,4,1.8,1.6,1.6,1.7,3.8,3.7,4.3,4,,,,,,
Chinchilla laniger,1,Rodentia,Chinchillidae,450,f,6,2,2,1.8,1.9,4.6,4.8,5.2,5.3,,,,,,
Cryptomys hottentotus,1,Rodentia,Bathyergidae,95,s,2,1.2,1,1.1,1.1,4.1,3.7,4.5,4.1,,,,,,
Cryptomys mechowi,1,Rodentia,Bathyergidae,400,s,2,1.4,1.1,1.3,1.3,3.7,3.2,4.1,3.6,,,,,,
Dipus sagitta,1,Rodentia,Dipodidae,66,f,6,1.5,1.3,1.1,1.3,4.9,4.9,4.7,5.1,,,,,,
Erethizon dorsatum,1,Rodentia,Erethizontidae,10623,s,2,2.4,2.1,1.7,2,3.1,3.1,3,3.1,,,,,,
Glaucomys volans,2,Rodentia,Sciuridae,59,f,6,1.4,1.3,1.2,1.3,4.8,4.8,5.3,5.3,,,,,,
Hydrochaeris hydrochaeris,1,Rodentia,Hydrochaeridae,39540,m,4,2.9,2.8,2.6,2.8,3,3.1,3.4,3.2,,,,,,
